"","ForeName","Middle1","Middle2","LastName","Order","PMID","DOI","Journal"
"2372","Stephanie","","","Schneider",18,"34586646","10.15252/embj.2021108234","The EMBO journal"
"2373","Stephanie","","","Schwartz",7,"34825707","10.15252/embj.2021108662","The EMBO journal"
"2374","Stephen","R","","Morairty",29,"34822784","10.1016/j.cell.2021.11.001","Cell"
"2375","Stephen","J","","Schuster",25,"34861191","10.1016/j.cell.2021.11.016","Cell"
"2376","Steven","M","","Albelda",26,"34861191","10.1016/j.cell.2021.11.016","Cell"
"2377","Steven","B","","Bradfute",19,"34741801","10.1016/j.cell.2021.10.017","Cell"
"2378","Steven","","","Gallinger",22,"34644529","10.1016/j.cell.2021.09.022","Cell"
"2379","Steven","D","","Goodman",14,"34735796","10.1016/j.cell.2021.10.010","Cell"
"2380","Steven","R","","LaPlante",1,"34707256","10.1038/s41596-021-00612-3","Nature protocols"
"2381","Steven","A","","Lietman",41,"34822786","10.1016/j.cell.2021.11.003","Cell"
"2382","Steven","C","","Munger",6,"34931323","10.15252/embj.2021109445","The EMBO journal"
"2383","Stuart","","","Owen",80,"34939300","10.15252/msb.202110851","Molecular systems biology"
"2384","Subhadip","","","Ghatak",2,"34837085","10.1038/s41596-021-00631-0","Nature protocols"
"2385","Sudipto","","","Roy",16,"34715025","10.1016/j.cell.2021.10.007","Cell"
"2386","Suengwon","","","Lee",8,"34704277","10.15252/embj.2020106973","The EMBO journal"
"2387","Sujuan","","","Zhong",62,"34767776","10.1016/j.cell.2021.10.023","Cell"
"2388","Sulin","","","Zhang",5,"34747049","10.15252/embj.2021108080","The EMBO journal"
"2389","Sumin","","","Choi",8,"34798069","10.1016/j.cell.2021.10.027","Cell"
"2390","Sumit","K","","Chanda",9,"34709707","10.15252/msb.202110260","Molecular systems biology"
"2391","Sun","","","Hur",2,"34815573","10.1038/s41580-021-00430-1","Nature reviews. Molecular cell biology"
"2392","Sunanjay","","","Bajaj",1,"34661293","10.15252/embj.2021108714","The EMBO journal"
"2393","Sunduz","","","Keles",12,"34487377","10.15252/embj.2021108065","The EMBO journal"
"2394","Suresh","","","Kumar",1,"34741801","10.1016/j.cell.2021.10.017","Cell"
"2395","Surui","","","Pei",24,"34965378","10.1016/j.cell.2021.12.006","Cell"
"2396","Susan","M","","Bailey",34,"34822785","10.1016/j.cell.2021.11.008","Cell"
"2397","Susan","","","Coort",52,"34939300","10.15252/msb.202110851","Molecular systems biology"
"2398","Susan","L","","Dobson",17,"34735795","10.1016/j.cell.2021.10.011","Cell"
"2399","Susan","M","","Gasser",10,"34569643","10.15252/embj.2021108439","The EMBO journal"
"2400","Susan","","","Hopkins",49,"34735795","10.1016/j.cell.2021.10.011","Cell"
"2401","Susanna","","","Dunachie",59,"34735795","10.1016/j.cell.2021.10.011","Cell"
"2402","Susanne","","","Arnold",4,"34542926","10.15252/embj.2021108648","The EMBO journal"
"2403","Susanne","","","Herold",41,"34914922","10.1016/j.cell.2021.11.033","Cell"
"2404","Suying","","","Lu",8,"34494680","10.15252/embj.2020107264","The EMBO journal"
"2405","Sven","","","Dennerlein",2,"34672953","10.1016/j.cell.2021.09.033","Cell"
"2406","Sviatoslav","N","","Bagriantsev",2,"34942094","10.1016/j.cell.2021.11.034","Cell"
"2407","Swagata","","","Kar",30,"34921774","10.1016/j.cell.2021.12.002","Cell"
"2408","Swetha","","","Vijayakrishnan",14,"34935163","10.15252/embj.2021109728","The EMBO journal"
"2409","Swetlana","","","Sirko",9,"34549820","10.15252/embj.2020107532","The EMBO journal"
"2410","Sylvain","V","","Costes",36,"34822785","10.1016/j.cell.2021.11.008","Cell"
"2411","Sylvain","","","Soliman",101,"34939300","10.15252/msb.202110851","Molecular systems biology"
"2412","Sylvia","","","Illouz",8,"34838159","10.1016/j.cell.2021.11.004","Cell"
"2413","Sylvie","C","","Briand",1,"34890548","10.1016/j.cell.2021.10.031","Cell"
"2414","Takafumi","","","Minamimoto",20,"34636430","10.15252/embj.2021107757","The EMBO journal"
"2415","Takahiro","G","","Yamada",29,"34939300","10.15252/msb.202110851","Molecular systems biology"
"2416","Takeharu","","","Minamihisamatsu",14,"34636430","10.15252/embj.2021107757","The EMBO journal"
"2417","Tamar","L","","Ben-Shaanan",6,"34752731","10.1016/j.cell.2021.10.013","Cell"
"2418","Tamar","L","","Ben-Shaanan",6,"34890554","10.1016/j.cell.2021.11.021","Cell"
"2419","Tamar","","","Koren",1,"34752731","10.1016/j.cell.2021.10.013","Cell"
"2420","Tamar","","","Koren",1,"34890554","10.1016/j.cell.2021.11.021","Cell"
"2421","Tamara","","","Flohr",2,"34786732","10.15252/embj.2021109519","The EMBO journal"
"2422","Tamara","","","Groffics",4,"34586646","10.15252/embj.2021108234","The EMBO journal"
"2423","Tamas","","","Korcsmaros",119,"34939300","10.15252/msb.202110851","Molecular systems biology"
"2424","Tamas","","","Szabo",7,"34931711","10.15252/embj.2021108690","The EMBO journal"
"2425","Tamta","","","Arakhamia",1,"34890553","10.1016/j.cell.2021.11.029","Cell"
"2426","Tanya","T","","Paull",2,"34429537","10.1038/s41580-021-00394-2","Nature reviews. Molecular cell biology"
"2427","Tao","","","Cheng",79,"34767776","10.1016/j.cell.2021.10.023","Cell"
"2428","Tao","","","Li",1,"34585770","10.15252/embj.2021107915","The EMBO journal"
"2429","Tao","","","Liu",23,"34965378","10.1016/j.cell.2021.12.006","Cell"
"2430","Tao","","","Qiu",8,"34715025","10.1016/j.cell.2021.10.007","Cell"
"2431","Tao","","","Yang",3,"34890577","10.1016/j.cell.2021.11.019","Cell"
"2432","Tao","","","Zuo",1,"34942100","10.1016/j.cell.2021.11.030","Cell"
"2433","Taran","","","Khanam",1,"34605059","10.15252/embj.2021108271","The EMBO journal"
"2434","Taras","","","Redchuk",4,"34709727","10.15252/msb.202110396","Molecular systems biology"
"2435","Tariq","Sami","","Haddad",1,"34716449","10.1038/s41596-021-00611-4","Nature protocols"
"2436","Tatiana","","","Simon-Ebert",4,"34549820","10.15252/embj.2020107532","The EMBO journal"
