FirstName,LastName,Order,PMID,Journal,CitationCount,Gender,Date.Received,Date.Published,Field
Oscar,Sánchez  ,4,1402.1679v2,American Journal of Mathematics,13,M,,26-Jan-17,Mathematics
Juan,Campos  ,2,1402.1679v2,American Journal of Mathematics,13,M,,26-Jan-17,Mathematics
Juan,Calvo  ,1,1402.1679v2,American Journal of Mathematics,13,M,,26-Jan-17,Mathematics
Edgardo,Roldán-Pensado  ,2,1402.6276v1,Acta Mathematica,4,M,26-Feb-14,28-Aug-14,Mathematics
Leonardo,Martínez  ,1,1402.6276v1,Acta Mathematica,4,M,26-Feb-14,28-Aug-14,Mathematics
Jakub,Trybula  ,1,1403.3223v1,Acta Mathematica,0,M,22-Aug-12,1-Jan-15,Mathematics
Solomon,Friedberg  ,1,1403.3930v3,American Journal of Mathematics,8,M,,31-May-18,Mathematics
David,Ginzburg  ,2,1403.3930v3,American Journal of Mathematics,8,M,,31-May-18,Mathematics
Marco,Mazzucchelli  ,3,1404.7641v3,American Journal of Mathematics,29,M,,26-Jan-17,Mathematics
Gabriel,P. Paternain ,4,1404.7641v3,American Journal of Mathematics,29,M,,26-Jan-17,Mathematics
Leonardo,Macarini  ,2,1404.7641v3,American Journal of Mathematics,29,M,,26-Jan-17,Mathematics
Alberto,Abbondandolo  ,1,1404.7641v3,American Journal of Mathematics,29,M,,26-Jan-17,Mathematics
Dmitry,Dolgopyat  ,1,1405.2304v1,American Journal of Mathematics,16,M,1-Feb-14,12-Feb-15,Mathematics
Peter,Nandori  ,2,1405.2304v1,American Journal of Mathematics,16,M,1-Feb-14,12-Feb-15,Mathematics
Á.,Baricz  ,1,1405.4712v1,Acta Mathematica,7,M,28-Sep-15,31-Mar-16,Mathematics
S.,Singh  ,3,1405.4712v1,Acta Mathematica,7,M,28-Sep-15,31-Mar-16,Mathematics
S.,Ponnusamy  ,2,1405.4712v1,Acta Mathematica,7,M,28-Sep-15,31-Mar-16,Mathematics
F.,S. Patacchini ,3,1405.5428v2,American Journal of Mathematics,72,M,25-May-14,4-Mar-15,Mathematics
J.,A. Carrillo ,2,1405.5428v2,American Journal of Mathematics,72,M,25-May-14,4-Mar-15,Mathematics
J.,A. Cañizo ,1,1405.5428v2,American Journal of Mathematics,72,M,25-May-14,4-Mar-15,Mathematics
Ilya,Kofman  ,2,1406.1945v1,Acta Mathematica,22,M,23-Feb-14,3-Dec-14,Mathematics
Abhijit,Champanerkar  ,1,1406.1945v1,Acta Mathematica,22,M,23-Feb-14,3-Dec-14,Mathematics
Jean-Luc,Marichal  ,1,1406.4345v2,Acta Mathematica,7,M,30-Jun-14,24-Feb-15,Mathematics
Bruno,Teheux  ,2,1406.4345v2,Acta Mathematica,7,M,30-Jun-14,24-Feb-15,Mathematics
Alessandro,Zilio  ,2,1407.6674v2,American Journal of Mathematics,44,M,29-Sep-14,11-Apr-15,Mathematics
Nicola,Soave  ,1,1407.6674v2,American Journal of Mathematics,44,M,29-Sep-14,11-Apr-15,Mathematics
Jonathan,Wise  ,4,1408.0869v3,American Journal of Mathematics,41,M,,7-Aug-17,Mathematics
Dan,Abramovich  ,1,1408.0869v3,American Journal of Mathematics,41,M,,7-Aug-17,Mathematics
